time,tweet,reply_to,likes,source,has_strsearch,is_retweet
2021-06-02 04:11:50,  Sigh,Teslarati,14036,Twitter for iPhone,False,False
2021-06-01 23:54:20,  When I visit Japan later this year,dogeofficialceo,8857,Twitter for iPhone,False,False
2021-06-01 23:46:18, Baby Shark crushes all! More views than humans. https://t.co/48Ol3ZzhjP,SouthPark,7873,Twitter for iPhone,False,False
2021-06-01 23:28:02,   … https://t.co/Nknrxkb0RV,CoinDesk,25485,Twitter for iPhone,False,False
2021-06-01 23:23:53,RT : Falcon 9 and Dragon roll out to Launch Complex 39A ahead of Dragon's 22nd cargo resupply mission to the  https://…,,0,Twitter for iPhone,False,True
2021-06-01 05:59:37, Sounds kinda fun,itsALLrisky,22158,Twitter for iPhone,False,False
2021-06-01 05:57:53, OG Smartwatch,ValaAfshar,53216,Twitter for iPhone,False,False
2021-06-01 05:45:00," Yeah, new Model S &amp; X have PS5 level entertainment computing power",WorldofTesla1,23244,Twitter for iPhone,False,False
2021-06-01 05:42:40, Nice,DocumentingBTC,8239,Twitter for iPhone,False,False
2021-05-31 22:34:01,   Agreed,jeremyjudkins,3583,Twitter for iPhone,False,False
2021-05-31 22:32:18," Making this work has been / still is super difficult, but it’s a revolution in car body design &amp; prod… https://t.co/pzQoUuMF4v",Model3Owners,24897,Twitter for iPhone,False,False
2021-05-31 22:26:25,  Moving lumbar was removed only in front passenger seat of 3/Y (obv not there in rear seats). Lo… https://t.co/sli6YLDDW3,Ryanth3nerd,5086,Twitter for iPhone,False,False
2021-05-31 04:28:09,"    Pretty close. Inner ring is closer to center 3, as all 12 gimbal t… https://t.co/9IGXh7oyE5",ErcXspace,19021,Twitter for iPhone,False,False
2021-05-30 21:24:28,          🤣🤣,hiddin2urleft,37884,Twitter for iPhone,False,False
2021-05-30 19:42:22,Ocean spaceport Deimos is under construction for launch next year https://t.co/WJQka399c7,,120677,Twitter for iPhone,False,False
2021-05-30 19:40:28,"RT : One year ago today, SpaceX launched its first human spaceflight mission with  astronauts  and  on…",,0,Twitter for iPhone,False,True
2021-05-30 17:13:25,  Sehnsucht,RenataKonkoly,4468,Twitter for iPhone,False,False
2021-05-30 16:56:50, Danke!!,Tesmanian_com,18937,Twitter for iPhone,False,False
2021-05-30 05:48:56,"     Actually, so-called “secondary” structure is the… https://t.co/DVPeARQ1TJ",PPathole,5580,Twitter for iPhone,False,False
2021-05-30 01:29:03,  True,RationalEtienne,22962,Twitter for iPhone,False,False
2021-05-30 01:23:59,  250M years is only ~6% increase in age of Earth,UniverCurious,12713,Twitter for iPhone,False,False
2021-05-30 00:48:56,     Raptor production is approaching one every 48 hours,Erdayastronaut,15300,Twitter for iPhone,False,False
2021-05-29 22:03:29,"    29 Raptors on Booster initially, rising to 32 later this ye… https://t.co/nynT8qgKc8",nextspaceflight,7907,Twitter for iPhone,False,False
2021-05-29 19:30:28, Great idea,blockfolio,37387,Twitter for iPhone,False,False
2021-05-29 05:54:24, 🔥🔥,westcoastbill,10841,Twitter for iPhone,False,False
2021-05-29 05:53:24,  Dark Helmet emotes Plaid well,teslaownersSV,4788,Twitter for iPhone,False,False
2021-05-29 05:46:55,  Actually true haha,OwenSparks_,5049,Twitter for iPhone,False,False
2021-05-29 05:36:20," Basically, our entire product roadmap is from Spaceballs 🤣🤣",TeslaNY,3948,Twitter for iPhone,False,False
2021-05-29 05:33:56, Yes,TeslaGong,4624,Twitter for iPhone,False,False
2021-05-29 05:16:45, Congrats Boring Company team!,boringcompany,14626,Twitter for iPhone,False,False
2021-05-29 05:02:14,"    Sick burn haha. Hopefully, next year.",OwenSparks_,4259,Twitter for iPhone,False,False
2021-05-29 05:01:18,"Model S Plaid delivery pushed to June 10. Needs one more week of tweak.

This car feels like a spaceship. Words can… https://t.co/2lpS5RUP3j",,139797,Twitter for iPhone,False,False
2021-05-29 04:47:06,   Vegas FTW!,SHillforVegas,10603,Twitter for iPhone,False,False
2021-05-29 02:11:55, Exactly. Atmospheric drag clearing out orbital debris is a major reason why we dropped altitude to ~550km.,skorusARK,7758,Twitter for iPhone,False,False
2021-05-28 08:29:16, I suspect that name made him strong,KosukeGoto2013,10981,Twitter for iPhone,False,False
2021-05-28 06:59:37," For the low, low price of … ?",blueorigin,31547,Twitter for iPhone,False,False
2021-05-28 04:56:24,https://t.co/0YDXE4KJlP,elonmusk,96437,Twitter for iPhone,False,False
2021-05-28 04:07:38,    🤣🤣,TDogewhisperer,14176,Twitter for iPhone,False,False
2021-05-28 03:47:51,"Ship 16 &amp; Booster 2, Starbase Highbay https://t.co/IUuidOw9ym",,265179,Twitter for iPhone,False,False
2021-05-27 21:32:40," Tesla sure would appreciate changing the law, so that this is not required!",Model3Owners,23353,Twitter for iPhone,False,False
