time,tweet,reply_to,likes,source,has_strsearch,is_retweet
2021-06-03 02:39:15,"RT : Beginning early next year, SpaceX will carry four  crews to and from the  → https://t.co/yq6mryOFeS h…",,0,Twitter for iPhone,False,True
2021-06-03 01:26:00, Yup,PPathole,17530,Twitter for iPhone,False,False
2021-06-02 11:59:04," Thanks :) Seriously, it was so insane! Fud still happening a little, but doesn’t resonate when enoug… https://t.co/PXei3kKxkf",teslaownersSV,8415,Twitter for iPhone,False,False
2021-06-02 11:53:02,  🤔,28delayslater,4401,Twitter for iPhone,False,False
2021-06-02 11:52:08, Some quarks &amp; a lepton walk into a bar …,Neuro_Skeptic,2416,Twitter for iPhone,False,False
2021-06-02 11:48:02, Things get weird at the driver level,eamokeane,2167,Twitter for iPhone,False,False
2021-06-02 11:34:02," That’s where we get most of our lithium. Also, whereas phone batteries make heavy use of cobalt in c… https://t.co/Nt0Eu3qVZe",WholeMarsBlog,17061,Twitter for iPhone,False,False
2021-06-02 09:57:18,  https://t.co/porMpnWtuk,Teslarati,15626,Twitter for iPhone,False,False
2021-06-02 09:51:34, We went public for $3.40/share!,teslaownersSV,19096,Twitter for iPhone,False,False
2021-06-02 08:36:44,  Science-fiction should not be fiction forever!,PPathole,25698,Twitter for iPhone,False,False
2021-06-02 08:02:15,    Might take a few kicks at the can before we catch the rocket haha,ErcXspace,7339,Twitter for iPhone,False,False
2021-06-02 07:59:59," Our biggest challenge is supply chain, especially microcontroller chips. Never seen anything like it.… https://t.co/ZYsj5YfVEw",p_ferragu,7864,Twitter for iPhone,False,False
2021-06-02 07:05:02,Found this pic of me as a child https://t.co/hUEKluRAdP,,318245,Twitter for iPhone,False,False
2021-06-02 04:11:50,  Sigh,Teslarati,29139,Twitter for iPhone,False,False
2021-06-01 23:54:20,  When I visit Japan later this year,dogeofficialceo,12268,Twitter for iPhone,False,False
2021-06-01 23:46:18, Baby Shark crushes all! More views than humans. https://t.co/48Ol3ZzhjP,SouthPark,9100,Twitter for iPhone,False,False
