time,tweet,reply_to,likes,source,has_strsearch,is_retweet
2021-06-02 04:11:50,  Sigh,Teslarati,14002,Twitter for iPhone,False,False
2021-06-01 23:54:20,  When I visit Japan later this year,dogeofficialceo,8848,Twitter for iPhone,False,False
2021-06-01 23:46:18, Baby Shark crushes all! More views than humans. https://t.co/48Ol3ZzhjP,SouthPark,7872,Twitter for iPhone,False,False
2021-06-01 23:28:02,   … https://t.co/Nknrxkb0RV,CoinDesk,25477,Twitter for iPhone,False,False
2021-06-01 23:23:53,RT : Falcon 9 and Dragon roll out to Launch Complex 39A ahead of Dragon's 22nd cargo resupply mission to the  https://…,,0,Twitter for iPhone,False,True
2021-06-01 05:59:37, Sounds kinda fun,itsALLrisky,22155,Twitter for iPhone,False,False
2021-06-01 05:57:53, OG Smartwatch,ValaAfshar,53213,Twitter for iPhone,False,False
2021-06-01 05:45:00," Yeah, new Model S &amp; X have PS5 level entertainment computing power",WorldofTesla1,23242,Twitter for iPhone,False,False
2021-06-01 05:42:40, Nice,DocumentingBTC,8235,Twitter for iPhone,False,False
2021-05-31 22:34:01,   Agreed,jeremyjudkins,3581,Twitter for iPhone,False,False
2021-05-31 22:32:18," Making this work has been / still is super difficult, but it’s a revolution in car body design &amp; prod… https://t.co/pzQoUuMF4v",Model3Owners,24895,Twitter for iPhone,False,False
2021-05-31 22:26:25,  Moving lumbar was removed only in front passenger seat of 3/Y (obv not there in rear seats). Lo… https://t.co/sli6YLDDW3,Ryanth3nerd,5086,Twitter for iPhone,False,False
2021-05-31 04:28:09,"    Pretty close. Inner ring is closer to center 3, as all 12 gimbal t… https://t.co/9IGXh7oyE5",ErcXspace,19021,Twitter for iPhone,False,False
2021-05-30 21:24:28,          🤣🤣,hiddin2urleft,37884,Twitter for iPhone,False,False
2021-05-30 19:42:22,Ocean spaceport Deimos is under construction for launch next year https://t.co/WJQka399c7,,120675,Twitter for iPhone,False,False
2021-05-30 19:40:28,"RT : One year ago today, SpaceX launched its first human spaceflight mission with  astronauts  and  on…",,0,Twitter for iPhone,False,True
2021-05-30 17:13:25,  Sehnsucht,RenataKonkoly,4468,Twitter for iPhone,False,False
2021-05-30 16:56:50, Danke!!,Tesmanian_com,18937,Twitter for iPhone,False,False
2021-05-30 05:48:56,"     Actually, so-called “secondary” structure is the… https://t.co/DVPeARQ1TJ",PPathole,5580,Twitter for iPhone,False,False
2021-05-30 01:29:03,  True,RationalEtienne,22962,Twitter for iPhone,False,False
