time,tweet,reply_to,likes,source,has_strsearch,is_retweet
2021-06-02 04:11:50,  Sigh,Teslarati,14148,Twitter for iPhone,False,False
2021-06-01 23:54:20,  When I visit Japan later this year,dogeofficialceo,8870,Twitter for iPhone,False,False
2021-06-01 23:46:18, Baby Shark crushes all! More views than humans. https://t.co/48Ol3ZzhjP,SouthPark,7875,Twitter for iPhone,False,False
2021-06-01 23:28:02,   … https://t.co/Nknrxkb0RV,CoinDesk,25524,Twitter for iPhone,False,False
2021-06-01 23:23:53,RT : Falcon 9 and Dragon roll out to Launch Complex 39A ahead of Dragon's 22nd cargo resupply mission to the  https://…,,0,Twitter for iPhone,False,True
2021-06-01 05:59:37, Sounds kinda fun,itsALLrisky,22167,Twitter for iPhone,False,False
2021-06-01 05:57:53, OG Smartwatch,ValaAfshar,53231,Twitter for iPhone,False,False
2021-06-01 05:45:00," Yeah, new Model S &amp; X have PS5 level entertainment computing power",WorldofTesla1,23246,Twitter for iPhone,False,False
2021-06-01 05:42:40, Nice,DocumentingBTC,8240,Twitter for iPhone,False,False
2021-05-31 22:34:01,   Agreed,jeremyjudkins,3583,Twitter for iPhone,False,False
2021-05-31 22:32:18," Making this work has been / still is super difficult, but it’s a revolution in car body design &amp; prod… https://t.co/pzQoUuMF4v",Model3Owners,24897,Twitter for iPhone,False,False
2021-05-31 22:26:25,  Moving lumbar was removed only in front passenger seat of 3/Y (obv not there in rear seats). Lo… https://t.co/sli6YLDDW3,Ryanth3nerd,5086,Twitter for iPhone,False,False
2021-05-31 04:28:09,"    Pretty close. Inner ring is closer to center 3, as all 12 gimbal t… https://t.co/9IGXh7oyE5",ErcXspace,19021,Twitter for iPhone,False,False
2021-05-30 21:24:28,          🤣🤣,hiddin2urleft,37885,Twitter for iPhone,False,False
2021-05-30 19:42:22,Ocean spaceport Deimos is under construction for launch next year https://t.co/WJQka399c7,,120684,Twitter for iPhone,False,False
2021-05-30 19:40:28,"RT : One year ago today, SpaceX launched its first human spaceflight mission with  astronauts  and  on…",,0,Twitter for iPhone,False,True
2021-05-30 17:13:25,  Sehnsucht,RenataKonkoly,4468,Twitter for iPhone,False,False
2021-05-30 16:56:50, Danke!!,Tesmanian_com,18937,Twitter for iPhone,False,False
2021-05-30 05:48:56,"     Actually, so-called “secondary” structure is the… https://t.co/DVPeARQ1TJ",PPathole,5580,Twitter for iPhone,False,False
2021-05-30 01:29:03,  True,RationalEtienne,22962,Twitter for iPhone,False,False
2021-05-30 01:23:59,  250M years is only ~6% increase in age of Earth,UniverCurious,12714,Twitter for iPhone,False,False
2021-05-30 00:48:56,     Raptor production is approaching one every 48 hours,Erdayastronaut,15300,Twitter for iPhone,False,False
2021-05-29 22:03:29,"    29 Raptors on Booster initially, rising to 32 later this ye… https://t.co/nynT8qgKc8",nextspaceflight,7908,Twitter for iPhone,False,False
2021-05-29 19:30:28, Great idea,blockfolio,37387,Twitter for iPhone,False,False
2021-05-29 05:54:24, 🔥🔥,westcoastbill,10841,Twitter for iPhone,False,False
2021-05-29 05:53:24,  Dark Helmet emotes Plaid well,teslaownersSV,4788,Twitter for iPhone,False,False
2021-05-29 05:46:55,  Actually true haha,OwenSparks_,5050,Twitter for iPhone,False,False
2021-05-29 05:36:20," Basically, our entire product roadmap is from Spaceballs 🤣🤣",TeslaNY,3948,Twitter for iPhone,False,False
2021-05-29 05:33:56, Yes,TeslaGong,4624,Twitter for iPhone,False,False
2021-05-29 05:16:45, Congrats Boring Company team!,boringcompany,14626,Twitter for iPhone,False,False
2021-05-29 05:02:14,"    Sick burn haha. Hopefully, next year.",OwenSparks_,4259,Twitter for iPhone,False,False
2021-05-29 05:01:18,"Model S Plaid delivery pushed to June 10. Needs one more week of tweak.

This car feels like a spaceship. Words can… https://t.co/2lpS5RUP3j",,139801,Twitter for iPhone,False,False
2021-05-29 04:47:06,   Vegas FTW!,SHillforVegas,10603,Twitter for iPhone,False,False
2021-05-29 02:11:55, Exactly. Atmospheric drag clearing out orbital debris is a major reason why we dropped altitude to ~550km.,skorusARK,7758,Twitter for iPhone,False,False
2021-05-28 08:29:16, I suspect that name made him strong,KosukeGoto2013,10981,Twitter for iPhone,False,False
2021-05-28 06:59:37," For the low, low price of … ?",blueorigin,31547,Twitter for iPhone,False,False
2021-05-28 04:56:24,https://t.co/0YDXE4KJlP,elonmusk,96439,Twitter for iPhone,False,False
2021-05-28 04:07:38,    🤣🤣,TDogewhisperer,14176,Twitter for iPhone,False,False
2021-05-28 03:47:51,"Ship 16 &amp; Booster 2, Starbase Highbay https://t.co/IUuidOw9ym",,265181,Twitter for iPhone,False,False
2021-05-27 21:32:40," Tesla sure would appreciate changing the law, so that this is not required!",Model3Owners,23353,Twitter for iPhone,False,False
2021-05-27 16:29:47,  Exactly,waitbutwhy,36162,Twitter for iPhone,False,False
2021-05-27 06:49:30,"  Potentially, 1000 times higher",RationalEtienne,5993,Twitter for iPhone,False,False
2021-05-27 01:17:39,  Pretty close. No tiles on back side of flaps. Some tiles towards leeward side of ship trail… https://t.co/GWAsOgKgLf,AlexSvanArt,13392,Twitter for iPhone,False,False
2021-05-27 00:41:24, Cumulative payload to orbit is the really crazy number. Falcon has delivered more than double rest of… https://t.co/gKgMj2GIn1,SciGuySpace,7686,Twitter for iPhone,False,False
2021-05-27 00:35:29,RT : Just surpassed 200k Powerwall installs globally 🔋🏡☀️,,0,Twitter for iPhone,False,True
2021-05-26 19:50:06,"RT : If you want to help cover Giga Berlin in awesome graffiti art, send us your work at GigaBerlinArt.com",,0,Twitter for iPhone,False,True
2021-05-26 18:52:25, 🤣🤣,BTC_Archive,8733,Twitter for iPhone,False,False
2021-05-26 18:52:03,RT : Today's flight will mark the 40th time SpaceX has reflown Falcon fairing halves since November 2019,,0,Twitter for iPhone,False,True
2021-05-26 18:51:58,RT : Watch Falcon 9 launch 60 Starlink satellites to orbit → https://t.co/bJFjLCzWdK  https://t.co/IF1aGLTBbb,,0,Twitter for iPhone,False,True
2021-05-26 18:49:21,"If only they had spaceships, they’d still be around",elonmusk,135934,Twitter for iPhone,False,False
2021-05-26 18:47:30,Deep thots https://t.co/J5mJff7IIL,,292626,Twitter for iPhone,False,False
2021-05-26 18:39:36," Not sure who wrote this, but it’s accurate https://t.co/gRvWxOJZ56",WholeMarsBlog,7253,Twitter for iPhone,False,False
2021-05-26 07:35:51,    Yup,Caspar_Stanley,3773,Twitter for iPhone,False,False
2021-05-26 00:27:00,   Aiming to have hot gas thrusters on booster for first orbital flight,Astro_Elliott,7775,Twitter for iPhone,False,False
2021-05-26 00:25:53,     They are now the same (LOX below CH4). Ox is… https://t.co/DmTMCLYzHQ,IlyaRosenberg,5511,Twitter for iPhone,False,False
2021-05-26 00:22:31,  Pure vision Autopilot is now rolling out in North America. There will be an update of th… https://t.co/exuLM26aUi,Teslarati,13922,Twitter for iPhone,False,False
2021-05-26 00:14:54,  Exactly 🤣🤣,Teslarati,28684,Twitter for iPhone,False,False
2021-05-26 00:14:18,    Lot of plumbing!,Caspar_Stanley,4281,Twitter for iPhone,False,False
2021-05-25 20:16:51," Please note Dogecoin has no formal organization &amp; no one reports to me, so my ability to take action is limited",itsALLrisky,34099,Twitter for iPhone,True,False
2021-05-25 05:37:12,"  Doge has dogs &amp; memes, whereas the others do not",heydave7,50898,Twitter for iPhone,True,False
