time,tweet,reply_to,likes,source,has_strsearch,is_retweet
3/06/2021 2:39,"RT : Beginning early next year, SpaceX will carry four  crews to and from the  → https://t.co/yq6mryOFeS h…",,0,Twitter for iPhone,FALSE,TRUE
3/06/2021 1:26, Yup,PPathole,17334,Twitter for iPhone,FALSE,FALSE
2/06/2021 11:59," Thanks :) Seriously, it was so insane! Fud still happening a little, but doesn’t resonate when enoug… https://t.co/PXei3kKxkf",teslaownersSV,8395,Twitter for iPhone,FALSE,FALSE
2/06/2021 11:53,  🤔,28delayslater,4389,Twitter for iPhone,FALSE,FALSE
2/06/2021 11:52, Some quarks &amp; a lepton walk into a bar …,Neuro_Skeptic,2411,Twitter for iPhone,FALSE,FALSE
2/06/2021 11:48, Things get weird at the driver level,eamokeane,2164,Twitter for iPhone,FALSE,FALSE
2/06/2021 11:34," That’s where we get most of our lithium. Also, whereas phone batteries make heavy use of cobalt in c… https://t.co/Nt0Eu3qVZe",WholeMarsBlog,17042,Twitter for iPhone,FALSE,FALSE
2/06/2021 9:57,  https://t.co/porMpnWtuk,Teslarati,15617,Twitter for iPhone,FALSE,FALSE
2/06/2021 9:51, We went public for $3.40/share!,teslaownersSV,19069,Twitter for iPhone,FALSE,FALSE
2/06/2021 8:36,  Science-fiction should not be fiction forever!,PPathole,25683,Twitter for iPhone,FALSE,FALSE
2/06/2021 8:02,    Might take a few kicks at the can before we catch the rocket haha,ErcXspace,7332,Twitter for iPhone,FALSE,FALSE
2/06/2021 7:59," Our biggest challenge is supply chain, especially microcontroller chips. Never seen anything like it.… https://t.co/ZYsj5YfVEw",p_ferragu,7855,Twitter for iPhone,FALSE,FALSE
2/06/2021 7:05,Found this pic of me as a child https://t.co/hUEKluRAdP,,317970,Twitter for iPhone,FALSE,FALSE
2/06/2021 4:11,  Sigh,Teslarati,29127,Twitter for iPhone,FALSE,FALSE
1/06/2021 23:54,  When I visit Japan later this year,dogeofficialceo,12264,Twitter for iPhone,FALSE,FALSE
1/06/2021 23:46, Baby Shark crushes all! More views than humans. https://t.co/48Ol3ZzhjP,SouthPark,9092,Twitter for iPhone,FALSE,FALSE
1/06/2021 23:28,   … https://t.co/Nknrxkb0RV,CoinDesk,30721,Twitter for iPhone,FALSE,FALSE
1/06/2021 23:23,RT : Falcon 9 and Dragon roll out to Launch Complex 39A ahead of Dragon's 22nd cargo resupply mission to the  https://…,,0,Twitter for iPhone,FALSE,TRUE
1/06/2021 5:59, Sounds kinda fun,itsALLrisky,23319,Twitter for iPhone,FALSE,FALSE
1/06/2021 5:57, OG Smartwatch,ValaAfshar,56042,Twitter for iPhone,FALSE,FALSE
1/06/2021 5:45," Yeah, new Model S &amp; X have PS5 level entertainment computing power",WorldofTesla1,24195,Twitter for iPhone,FALSE,FALSE
1/06/2021 5:42, Nice,DocumentingBTC,8621,Twitter for iPhone,FALSE,FALSE
31/05/2021 22:34,   Agreed,jeremyjudkins,3808,Twitter for iPhone,FALSE,FALSE
31/05/2021 22:32," Making this work has been / still is super difficult, but it’s a revolution in car body design &amp; prod… https://t.co/pzQoUuMF4v",Model3Owners,25298,Twitter for iPhone,FALSE,FALSE
31/05/2021 22:26,  Moving lumbar was removed only in front passenger seat of 3/Y (obv not there in rear seats). Lo… https://t.co/sli6YLDDW3,Ryanth3nerd,5189,Twitter for iPhone,FALSE,FALSE
31/05/2021 4:28,"    Pretty close. Inner ring is closer to center 3, as all 12 gimbal t… https://t.co/9IGXh7oyE5",ErcXspace,19205,Twitter for iPhone,FALSE,FALSE
30/05/2021 21:24,          🤣🤣,hiddin2urleft,38232,Twitter for iPhone,FALSE,FALSE
30/05/2021 19:42,Ocean spaceport Deimos is under construction for launch next year https://t.co/WJQka399c7,,124574,Twitter for iPhone,FALSE,FALSE
30/05/2021 19:40,"RT : One year ago today, SpaceX launched its first human spaceflight mission with  astronauts  and  on…",,0,Twitter for iPhone,FALSE,TRUE
30/05/2021 17:13,  Sehnsucht,RenataKonkoly,4545,Twitter for iPhone,FALSE,FALSE
30/05/2021 16:56, Danke!!,Tesmanian_com,19019,Twitter for iPhone,FALSE,FALSE
30/05/2021 5:48,"     Actually, so-called “secondary” structure is the… https://t.co/DVPeARQ1TJ",PPathole,5634,Twitter for iPhone,FALSE,FALSE
30/05/2021 1:29,  True,RationalEtienne,23028,Twitter for iPhone,FALSE,FALSE
30/05/2021 1:23,  250M years is only ~6% increase in age of Earth,UniverCurious,12799,Twitter for iPhone,FALSE,FALSE
30/05/2021 0:48,     Raptor production is approaching one every 48 hours,Erdayastronaut,15398,Twitter for iPhone,FALSE,FALSE
29/05/2021 22:03,"    29 Raptors on Booster initially, rising to 32 later this ye… https://t.co/nynT8qgKc8",nextspaceflight,7922,Twitter for iPhone,FALSE,FALSE
29/05/2021 19:30, Great idea,blockfolio,37469,Twitter for iPhone,FALSE,FALSE
29/05/2021 5:54, 🔥🔥,westcoastbill,10874,Twitter for iPhone,FALSE,FALSE
29/05/2021 5:53,  Dark Helmet emotes Plaid well,teslaownersSV,4819,Twitter for iPhone,FALSE,FALSE
29/05/2021 5:46,  Actually true haha,OwenSparks_,5087,Twitter for iPhone,FALSE,FALSE
